id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
150,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,Italia,,,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion arte_arquitectura atractivos museos que_hacer,
151,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,3,Bolivia,,,4,Avión,Hotel,,San Nicolás,,Sí,,,Mapas,
152,2017-01-02,caminito2,BOCA,COMUNA 4,2,,,Tucumán,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion,
153,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Ecuador,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
154,2017-01-02,aeroparque2,PALERMO,COMUNA 14,2,,,San Juan,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
155,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
156,2017-01-02,aeroparque2,PALERMO,COMUNA 14,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
157,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,Italia,,,6,Avión,Hotel,,Recoleta,,Sí,,,Mapas Orientacion arte_arquitectura atractivos info_uru visitas,
158,2017-01-02,aeroparque2,PALERMO,COMUNA 14,2,España,,,5,No especifica,,,,,No especifica,No especifica,,Orientacion,
159,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
160,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,4,Uruguay,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
161,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Reino Unido,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
